Channel ID,Channel URL,Channel title
UCLXQoK41TOcIsWtY-BgB_kQ,http://www.youtube.com/channel/UCLXQoK41TOcIsWtY-BgB_kQ,CodingTheSmartWay.com
UCoNZZLhPuuRteu02rh7bzsw,http://www.youtube.com/channel/UCoNZZLhPuuRteu02rh7bzsw,CodingWithMitch
UCsi5-meDM5Q5NE93n_Ya7GA,http://www.youtube.com/channel/UCsi5-meDM5Q5NE93n_Ya7GA,CoffeeBeforeArch
UCoSiBUY5b9ixwuKfS99_rSw,http://www.youtube.com/channel/UCoSiBUY5b9ixwuKfS99_rSw,Cognitive Class
UCZHbZVjG2wXaLCuHK3LZ5lw,http://www.youtube.com/channel/UCZHbZVjG2wXaLCuHK3LZ5lw,ColdFront
UCKl7MXLRrk6hnWuObFwKxdg,http://www.youtube.com/channel/UCKl7MXLRrk6hnWuObFwKxdg,Cole's World of Mathematics
UCrqAGUPPMOdo0jfQ6grikZw,http://www.youtube.com/channel/UCrqAGUPPMOdo0jfQ6grikZw,Colt Steele
UC0pEknZxL7Q1j0Ok8qImWdQ,http://www.youtube.com/channel/UC0pEknZxL7Q1j0Ok8qImWdQ,Compose Conference
UCHDr4RtxwA1KqKGwxgdK4Vg,http://www.youtube.com/channel/UCHDr4RtxwA1KqKGwxgdK4Vg,Computer History Museum
UCSX3MR0gnKDxyXAyljWzm0Q,http://www.youtube.com/channel/UCSX3MR0gnKDxyXAyljWzm0Q,Computer Science
UC9-y-6csu5WGm29I7JiwpnA,http://www.youtube.com/channel/UC9-y-6csu5WGm29I7JiwpnA,Computerphile
UCWnPjmqvljcafA0z2U1fwKQ,http://www.youtube.com/channel/UCWnPjmqvljcafA0z2U1fwKQ,Confreaks
